date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
					 
fsrggsfsdffa | fsrggsfsdffa
assdvdv | 1
254353 
254353 | 254353
fsrggsfsdffa | 1

2012-01-11 | 1000
2012-01-11 | 1001
2022-01-09|1
2022-01-11 | 
2022-01-11 |
 | 1
| 1
2022-01-11 | 1
0000-01-01 | 0.5
0-01-01 | 0.5
2022-42-01 | 0.5
2022-01-42 | 0.5
-2022-01-42 | 0.5
abc | 1
1000-01-01 | abc
2022-01-10- | 0.5
2022-1-1 | 5
2022-01- | 5
2022-01-0 | 5
2022-0-1 | 5
2022-01-1 | 5
2022--1 | 5
2022-1-1abc0 | 5
20ab-1-1| 5
2022-01-10 | 0000000000000000000000
2022-aa-10 | 0000000000000000000000

2009-01-02 | 1
2011-04-17 | 1
2011-04-17 | 1.1f
2011-04-14 | 1
2010-08-20 | 1.12
2009-08-03 | 1
2011-09-03 | 1
2011-08-03 | 1
2009-01-01 | 1
2009-03-01 |     1
2009-03-01 | 1       
2009-01-05 | 1
sdsffdssd |  
asdadfsd 
 |
2008_01_01 | 4
           | 
eeeeeeeeee |

2009-01-02 | 1
2009-01-01 | 1
2023-12-31 | 1
2016-02-28 | 0000000000000000000000

2009-01-02 
2009-01-02 | 0.99f              
2009-01-99 |


340282000000000014192072600942972764160
